epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1632,2.71597,4.45474,1.57199,0.81718,0.06407,0.09434,0.03689,2.61689,3.68728,1.33224,0.000183178,0.000183178,0.000183178
2,123.282,2.5207,3.0353,1.37005,0.56877,0.24323,0.22336,0.09339,2.44758,2.33741,1.3439,0.000332029,0.000332029,0.000332029
3,183.392,2.39251,2.5052,1.32996,0.57869,0.30254,0.28473,0.12282,2.33852,2.01714,1.2964,0.000444184,0.000444184,0.000444184
4,241.458,2.33523,2.30627,1.3109,0.62493,0.3131,0.30486,0.13562,2.2826,1.8979,1.27368,0.000390868,0.000390868,0.000390868
5,301.531,2.27482,2.14336,1.29779,0.62139,0.33919,0.32379,0.14115,2.27916,1.82018,1.26481,0.000335824,0.000335824,0.000335824
6,364.913,2.23713,2.05696,1.28027,0.51914,0.36414,0.34133,0.15085,2.22465,1.74898,1.25166,0.00028078,0.00028078,0.00028078
7,421.49,2.20526,1.98936,1.25955,0.51519,0.37012,0.34615,0.15556,2.21213,1.68696,1.23767,0.000225736,0.000225736,0.000225736
8,477.953,2.18348,1.92961,1.24729,0.54328,0.37703,0.35288,0.15962,2.18261,1.65704,1.22925,0.000170692,0.000170692,0.000170692
9,535.822,2.15632,1.87618,1.24167,0.56143,0.375,0.37112,0.16857,2.19967,1.62977,1.22016,0.000115648,0.000115648,0.000115648
10,597.279,2.11865,1.83603,1.2313,0.55092,0.38749,0.37135,0.16792,2.17796,1.62919,1.22143,6.0604e-05,6.0604e-05,6.0604e-05
